제목,저자,출판사,출판일,가격
치치새가 사는 숲,장진영,민음사,2023년 10월,"12,600"
토지 4,박경리,다산책방,2023년 06월,"15,300"
검은 꽃,김영하,문학동네,2020년 10월,"13,500"
띵동! 당신의 눈물이 입금되었습니다,최소망,놀,2023년 05월,"15,120"
나나,이희영,창비,2021년 10월,"11,700"
재능의 불시착,박소연,알에이치코리아(RHK),2021년 10월,"15,120"
토지 2,박경리,다산책방,2023년 06월,"15,300"
까칠한 재석이가 사라졌다,고정욱,애플북스,2022년 04월,"10,800"
낙원은 창백한 손으로,박영,은행나무,2023년 08월,"15,120"
영원한 유산,심윤경,문학동네,2021년 01월,"13,050"
페인트,이희영,창비,2019년 11월,"12,600"
미래과거시제,배명훈,북하우스,2023년 03월,"15,120"
광인,이혁진,민음사,2023년 11월,"17,100"
연적,김호연,나무옆의자,2015년 10월,"11,700"
좋은 곳에서 만나요,이유리,안온북스,2023년 07월,"14,400"
"하나의 인간, 인류의 하나",김동식,요다,2019년 03월,"11,700"
장마,윤흥길,민음사,2005년 10월,"9,900"
어떤 물질의 사랑,천선란,아작,2020년 07월,"13,320"
선녀를 위한 변론,송시우,래빗홀,2023년 10월,"14,220"
카지노,김진명,새움,2022년 12월,"14,850"
마지막 춤은 나와 함께,은희경,문학동네,2023년 11월,"15,120"
아버지의 해방일지 (큰글자도서),정지아,창비,2022년 12월,"25,000"
눈물을 마시는 새 윷놀이 세트,이영도,황금가지,2023년 05월,"117,000"
그러나 누군가는 더 검은 밤을 원한다,우다영,문학과지성사,2023년 12월,"14,400"
함께 걷는 소설 ,백수린,창비교육,2023년 04월,"15,300"
토지 1~20 세트,박경리,다산책방,2023년 06월,"306,000"
28,정유정,은행나무,2013년 06월,"13,050"
네가 있는 요일,박소영,창비,2023년 09월,"14,400"
언러키 스타트업 ,정지음,민음사,2022년 10월,"13,500"
숨 쉬는 소설,최진영,창비교육,2021년 08월,"14,400"
미스터 션샤인 1,김수연,알에이치코리아(RHK),2018년 09월,"15,120"
다윈 영의 악의 기원,박지리,사계절,2016년 09월,"19,800"
수상한 초콜릿 가게,김예은,서랍의날씨,2022년 10월,"12,150"
여행하는 소설,장류진,창비교육,2022년 03월,"14,400"
다섯 번째 감각,김보영,아작,2022년 02월,"16,200"
때론 버텨야만 하는 날들이 있다,정태현,미래책들,2023년 12월,"15,120"
내게 남은 사랑을 드릴게요,이유리,자이언트북스,2023년 01월,"14,220"
완장,윤흥길,현대문학,2011년 04월,"10,800"
아침을 볼 때마다 당신을 떠올릴 거야,조수경,한겨레출판,2019년 02월,"12,420"
태백산맥 세트,조정래,해냄,2020년 10월,"157,500"
광장 / 구운몽,최인훈,문학과지성사,2008년 11월,"11,700"
안녕 주정뱅이,권여선,창비,2016년 05월,"12,150"
생의 이면,이승우,문이당,2013년 01월,"11,700"
달의 바다,정한아,문학동네,2023년 06월,"13,500"
노 휴먼스 랜드,김정,창비,2023년 07월,"13,500"
러브 몬스터,이두온,창비,2023년 02월,"14,400"
"어느 날, 너의 심장이 멈출 거라 말했다",클로에 윤,팩토리나인,2021년 12월,"12,600"
미스터 션샤인 2,김수연,알에이치코리아(RHK),2018년 10월,"15,120"
검은 사슴,한강,문학동네,2017년 12월,"13,950"
최은영 소설 3종 특별 한정 에디션,최은영,문학동네,2022년 07월,"31,500"
소나기 : 황순원 단편집,황순원,다림,2002년 01월,"8,100"
"진이, 지니",정유정,은행나무,2019년 05월,"12,600"
소설가 구보씨의 일일,박태원,문학과지성사,2005년 04월,"9,900"
취미는 사생활,장진영,은행나무,2023년 04월,"11,700"
광장/구운몽,최인훈,문학과지성사,2014년 12월,"12,600"
구운몽,김만중,민음사,2003년 01월,"7,200"
엄마를 부탁해,신경숙,창비,2008년 10월,"13,500"
천년의 사랑,양귀자,쓰다,2013년 04월,"13,500"
2023 제6회 한국과학문학상 수상작품집,한이솔,허블,2023년 05월,"6,930"
물로 씌어진 이름 제1부 광복 세트,복거일,백년동안,2023년 07월,"90,000"
오발탄,이범선,문학과지성사,2007년 07월,"10,350"
무궁화꽃이 피었습니다 1,김진명,이타북스,2023년 04월,"15,120"
날마다 만우절,윤성희,문학동네,2021년 07월,"13,500"
내가 말하고 있잖아,정용준,민음사,2020년 06월,"12,600"
"그믐, 또는 당신이 세계를 기억하는 방식",장강명,문학동네,2015년 08월,"10,800"
핌·오렌지빛이랄지,이상우,민음사,2023년 11월,"15,300"
복길잡화점,이민혁,뜰Book,2023년 12월,"12,600"
쇼코의 미소 (특별 한정 에디션),최은영,문학동네,2022년 07월,"9,900"
GV 빌런 고태경,정대건,은행나무,2020년 04월,"12,150"
감꽃 길 시골하우스,이영희,델피노,2023년 11월,"15,030"
여름이 죽었다,한지원,하움출판사,2020년 08월,"7,200"
칼을 품고 슬퍼하다,이상훈,여백,2023년 09월,"15,120"
복행 마을 생활 수칙,숫노루TV,북오션,2023년 12월,"15,300"
